
File	Size
Day - 02 (09_06_23)/07. HTML (Level 1) - Part B/07. Comments in HTML.mp4	57.13 MiB
Day - 02 (09_06_23)/07. HTML (Level 1) - Part B/08. Is HTML Case Sensitive.mp4	16.00 MiB
Day - 02 (09_06_23)/07. HTML (Level 1) - Part B/09. Practice Qs.mp4	70.13 MiB
Day - 02 (09_06_23)/07. HTML (Level 1) - Part B/10.Assignment Questions.pdf	139.58 KiB
Day - 02 (09_06_23)/07. HTML (Level 1) - Part B/11.Assignment Solutions.pdf	138.70 KiB
Day - 03 (11_06_23)/08. HTML (Level - 2)/0. Topic List.jpg	32.59 KiB
Day - 03 (11_06_23)/08. HTML (Level - 2)/01. Inline vs Block.mp4	53.60 MiB
Day - 03 (11_06_23)/08. HTML (Level - 2)/02. Div Element.mp4	25.44 MiB
Day - 03 (11_06_23)/08. HTML (Level - 2)/03. Span Element.mp4	17.21 MiB
Day - 03 (11_06_23)/08. HTML (Level - 2)/04. Hr Tag.mp4	16.95 MiB
Day - 03 (11_06_23)/08. HTML (Level - 2)/05. Sup & Sub Tags.mp4	21.88 MiB
Day - 03 (11_06_23)/08. HTML (Level - 2)/06. Practice Qs.mp4	9.04 MiB
Day - 03 (11_06_23)/08. HTML (Level - 2)/07. Semantic Markup.mp4	47.72 MiB
Day - 03 (11_06_23)/08. HTML (Level - 2)/08. Semantic Tags.mp4	69.40 MiB
Day - 03 (11_06_23)/08. HTML (Level - 2)/09. Practice Qs.mp4	23.52 MiB
Day - 03 (11_06_23)/08. HTML (Level - 2)/10. HTML Entities.mp4	65.53 MiB
Day - 03 (11_06_23)/08. HTML (Level - 2)/11. Practice Qs.mp4	14.34 MiB
Day - 03 (11_06_23)/08. HTML (Level - 2)/12. Emmets.mp4	59.87 MiB
Day - 03 (11_06_23)/08. HTML (Level - 2)/13. Further Understanding HTML.mp4	27.16 MiB
Day - 03 (11_06_23)/08. HTML (Level - 2)/14.HTML Level 2 (Qs).pdf	161.27 KiB
Day - 03 (11_06_23)/08. HTML (Level - 2)/15.HTML Level 2 (Ans).pdf	161.35 KiB
Day - 04 (13_06_23)/09. HTML (Level - 3)/0. Topic List.jpg	411.23 KiB
Day - 04 (13_06_23)/09. HTML (Level - 3)/01. Tables in HTML.mp4	87.82 MiB
Day - 04 (13_06_23)/09. HTML (Level - 3)/02. Semantics in Tables.mp4	19.42 MiB
Day - 04 (13_06_23)/09. HTML (Level - 3)/03. Colspan & Rowspan Attributes.mp4	62.84 MiB
Day - 04 (13_06_23)/09. HTML (Level - 3)/04. Practice Qs.mp4	47.65 MiB
Day - 04 (13_06_23)/09. HTML (Level - 3)/05. Forms in HTML.mp4	32.14 MiB
Day - 04 (13_06_23)/09. HTML (Level - 3)/06. Input - Form Element.mp4	52.49 MiB
Day - 04 (13_06_23)/09. HTML (Level - 3)/07. Placeholders & Labels.mp4	61.32 MiB
Day - 04 (13_06_23)/09. HTML (Level - 3)/08. Button Element.mp4	69.41 MiB
Day - 04 (13_06_23)/09. HTML (Level - 3)/09. Name Attribute.mp4	70.65 MiB
Day - 04 (13_06_23)/09. HTML (Level - 3)/10. Practice Qs.mp4	16.25 MiB
Day - 04 (13_06_23)/09. HTML (Level - 3)/11. Checkbox - Input Element.mp4	23.94 MiB
Day - 04 (13_06_23)/09. HTML (Level - 3)/12. Radio - Input Element.mp4	56.31 MiB
Day - 04 (13_06_23)/09. HTML (Level - 3)/13. Select - Input Element.mp4	28.39 MiB
Day - 04 (13_06_23)/09. HTML (Level - 3)/14. Range - Input Element.mp4	33.05 MiB
Day - 04 (13_06_23)/09. HTML (Level - 3)/15. Text Area.mp4	20.16 MiB
Day - 04 (13_06_23)/09. HTML (Level - 3)/16. Practice Qs.mp4	41.69 MiB
Day - 04 (13_06_23)/09. HTML (Level - 3)/17. HTML Level 3 (Qs).pdf	225.17 KiB
Day - 04 (13_06_23)/09. HTML (Level - 3)/18. HTML Level 3 (Ans).pdf	218.06 KiB
Day - 05 (15_06_23)/10. CSS - Getting Started/0. Topic List.jpg	363.62 KiB
Day - 05 (15_06_23)/10. CSS - Getting Started/01. What is CSS.mp4	51.33 MiB
Day - 05 (15_06_23)/10. CSS - Getting Started/02. Basic CSS Format.mp4	26.30 MiB
Day - 05 (15_06_23)/10. CSS - Getting Started/03. Including CSS.mp4	78.06 MiB
Day - 05 (15_06_23)/10. CSS - Getting Started/04. Color Property.mp4	29.75 MiB
Day - 05 (15_06_23)/10. CSS - Getting Started/05. Background Color Property.mp4	11.96 MiB
Day - 05 (15_06_23)/10. CSS - Getting Started/06. Practice Qs.mp4	14.12 MiB
Day - 05 (15_06_23)/10. CSS - Getting Started/07. Color Systems (Name & RGB).mp4	62.07 MiB
Day - 05 (15_06_23)/10. CSS - Getting Started/08. Hex Codes.mp4	49.36 MiB
Day - 05 (15_06_23)/10. CSS - Getting Started/09. Practice Qs.mp4	8.14 MiB
Day - 05 (15_06_23)/10. CSS - Getting Started/10. Text Align Property.mp4	56.53 MiB
Day - 05 (15_06_23)/10. CSS - Getting Started/11. Font Weight & Text Decoration.mp4	67.23 MiB
Day - 05 (15_06_23)/10. CSS - Getting Started/12. Line Height & Letter Spacing.mp4	27.42 MiB
Day - 05 (15_06_23)/10. CSS - Getting Started/13. Units in CSS (Pixel).mp4	34.92 MiB
Day - 05 (15_06_23)/10. CSS - Getting Started/14. Font Family.mp4	47.90 MiB
Day - 05 (15_06_23)/10. CSS - Getting Started/15. Practice Qs.mp4	36.30 MiB
Day - 05 (15_06_23)/10. CSS - Getting Started/16. CSS Part1 (Qs).pdf	176.72 KiB
Day - 05 (15_06_23)/10. CSS - Getting Started/17. CSS Part 1 (Ans).pdf	149.14 KiB
Day - 05 (15_06_23)/10. CSS - Getting Started/Our Telegram Link.pdf	68.04 KiB
Day - 06 (17_06_23)/11. CSS - Part 2/0. Topic List.jpg	430.57 KiB
Day - 06 (17_06_23)/11. CSS - Part 2/01. Download Starter HTML.pdf	81.58 KiB
Day - 06 (17_06_23)/11. CSS - Part 2/02. How to download-.mp4	2.12 MiB
Day - 06 (17_06_23)/11. CSS - Part 2/03. Universal Selector.mp4	32.39 MiB
Day - 06 (17_06_23)/11. CSS - Part 2/04. Element Selector.mp4	9.83 MiB
Day - 06 (17_06_23)/11. CSS - Part 2/05. Id Selector.mp4	20.68 MiB
Day - 06 (17_06_23)/11. CSS - Part 2/06. Class Selector.mp4	14.33 MiB
Day - 06 (17_06_23)/11. CSS - Part 2/07. Practice Qs.mp4	10.08 MiB
Day - 06 (17_06_23)/11. CSS - Part 2/08. Descendant Selector.mp4	26.52 MiB
Day - 06 (17_06_23)/11. CSS - Part 2/09. Sibling Combinator.mp4	15.48 MiB
Day - 06 (17_06_23)/11. CSS - Part 2/10. Child Combinator.mp4	13.00 MiB
Day - 06 (17_06_23)/11. CSS - Part 2/11. Attribute Selector.mp4	17.38 MiB
Day - 06 (17_06_23)/11. CSS - Part 2/12. Practice Qs_2.mp4	17.13 MiB
Day - 06 (17_06_23)/11. CSS - Part 2/13. Pseudo Class.mp4	55.70 MiB
Day - 06 (17_06_23)/11. CSS - Part 2/14. Pseudo Element.mp4	17.15 MiB
Day - 06 (17_06_23)/11. CSS - Part 2/15. Cascading & Specificity.mp4	45.27 MiB
Day - 06 (17_06_23)/11. CSS - Part 2/16. Practice Qs_3.mp4	16.90 MiB
Day - 06 (17_06_23)/11. CSS - Part 2/17. !important in CSS.mp4	5.19 MiB
Day - 06 (17_06_23)/11. CSS - Part 2/18. Inheritance.mp4	51.10 MiB
Day - 06 (17_06_23)/11. CSS - Part 2/19. CSS Part2 (Qs).pdf	135.71 KiB
Day - 06 (17_06_23)/11. CSS - Part 2/20. CSS Part 2 (Ans).pdf	71.57 KiB
Day - 07 (20_06_23)/12. CSS - Part 3/0. Topic List.jpg	391.81 KiB
Day - 07 (20_06_23)/12. CSS - Part 3/0. Topic List.png	144.14 KiB
Day - 07 (20_06_23)/12. CSS - Part 3/01. Download Starter HTML.pdf	89.86 KiB
Day - 07 (20_06_23)/12. CSS - Part 3/02. Box Model.mp4	18.18 MiB
Day - 07 (20_06_23)/12. CSS - Part 3/03. Height & Width.mp4	25.15 MiB
Day - 07 (20_06_23)/12. CSS - Part 3/04. Border.mp4	29.80 MiB
Day - 07 (20_06_23)/12. CSS - Part 3/05. Border Radius.mp4	22.45 MiB
Day - 07 (20_06_23)/12. CSS - Part 3/06. Padding Property.mp4	48.83 MiB
Day - 07 (20_06_23)/12. CSS - Part 3/07. Margin Property.mp4	26.35 MiB
Day - 07 (20_06_23)/12. CSS - Part 3/08. Practice Qs.mp4	21.12 MiB
Day - 07 (20_06_23)/12. CSS - Part 3/09. Display Property.mp4	48.06 MiB
Day - 07 (20_06_23)/12. CSS - Part 3/10 Conclusion (Inline & Block).pdf	35.01 KiB
Day - 07 (20_06_23)/12. CSS - Part 3/11 Inline-Block.mp4	12.47 MiB
Day - 07 (20_06_23)/12. CSS - Part 3/12 Relative Units (Percentage).mp4	21.12 MiB
Day - 07 (20_06_23)/12. CSS - Part 3/13 Em & Rem in Units.mp4	38.32 MiB
Day - 07 (20_06_23)/12. CSS - Part 3/14. CSS Part3 (Qs).pdf	38.23 KiB
Day - 07 (20_06_23)/12. CSS - Part 3/15. CSS Part 3 (Ans).pdf	143.17 KiB
Day - 08 (22_06_23)/13. CSS - Part 4/0. Topic List.jpg	472.32 KiB
Day - 08 (22_06_23)/13. CSS - Part 4/01. Alpha & Opacity.mp4	26.27 MiB
Day - 08 (22_06_23)/13. CSS - Part 4/02. Transitions in CSS.mp4	35.61 MiB
Day - 08 (22_06_23)/13. CSS - Part 4/03. Transform - Rotate.mp4	17.53 MiB
Day - 08 (22_06_23)/13. CSS - Part 4/04. Tranform - Scale.mp4	11.03 MiB
Day - 08 (22_06_23)/13. CSS - Part 4/05. Transform - Translate.mp4	6.65 MiB
Day - 08 (22_06_23)/13. CSS - Part 4/06. Transform - Skew.mp4	10.45 MiB
Day - 08 (22_06_23)/13. CSS - Part 4/07. Box Shadow.mp4	10.78 MiB
Day - 08 (22_06_23)/13. CSS - Part 4/08. Background Image.mp4	19.83 MiB
Day - 08 (22_06_23)/13. CSS - Part 4/09. Card Hover Effect.mp4	31.59 MiB
Day - 08 (22_06_23)/13. CSS - Part 4/10. Position Property.mp4	53.91 MiB
Day - 08 (22_06_23)/13. CSS - Part 4/11. Simple Smiley Face.mp4	37.88 MiB
Day - 08 (22_06_23)/13. CSS - Part 4/12. CSS Part4 (Qs).pdf	121.23 KiB
Day - 08 (22_06_23)/13. CSS - Part 4/13. CSS Part 4 (Ans).pdf	118.55 KiB
Day - 09 (24_06_23)/14. CSS - Part 5/0. Topic List.jpg	167.49 KiB
Day - 09 (24_06_23)/14. CSS - Part 5/01. What is Flexbox.mp4	28.90 MiB
Day - 09 (24_06_23)/14. CSS - Part 5/02. Display Flex.mp4	26.27 MiB
Day - 09 (24_06_23)/14. CSS - Part 5/03. Flex Direction.mp4	15.24 MiB
Day - 09 (24_06_23)/14. CSS - Part 5/04. Justify Content.mp4	26.70 MiB
Day - 09 (24_06_23)/14. CSS - Part 5/05. Flex Wrap.mp4	15.64 MiB
Day - 09 (24_06_23)/14. CSS - Part 5/06. Align Items.mp4	18.81 MiB
Day - 09 (24_06_23)/14. CSS - Part 5/07. Align Content.mp4	11.86 MiB
Day - 09 (24_06_23)/14. CSS - Part 5/08. Align Self.mp4	8.29 MiB
Day - 09 (24_06_23)/14. CSS - Part 5/09. Flex Sizing.mp4	41.47 MiB
Day - 09 (24_06_23)/14. CSS - Part 5/10. Flex Shorthand.mp4	11.39 MiB
Day - 09 (24_06_23)/14. CSS - Part 5/12. CSS Part5(Qs).pdf	183.01 KiB
Day - 09 (24_06_23)/14. CSS - Part 5/13. CSS Part 5 (Ans).pdf	125.40 KiB
Day - 10 (28_06_23)/15. CSS - Part 6/0. Topic List.jpg	446.55 KiB
Day - 10 (28_06_23)/15. CSS - Part 6/01. What is Grid-.mp4	22.00 MiB
Day - 10 (28_06_23)/15. CSS - Part 6/02. Grid Model.mp4	11.58 MiB
Day - 10 (28_06_23)/15. CSS - Part 6/03. Grid Template.mp4	33.49 MiB
Day - 10 (28_06_23)/15. CSS - Part 6/04. Grid Template (repeat).mp4	19.95 MiB
Day - 10 (28_06_23)/15. CSS - Part 6/05. Grid Gaps.mp4	13.19 MiB
Day - 10 (28_06_23)/15. CSS - Part 6/06. Grid Columns.mp4	19.55 MiB
Day - 10 (28_06_23)/15. CSS - Part 6/07. Grid Rows.mp4	10.27 MiB
Day - 10 (28_06_23)/15. CSS - Part 6/08. Grid Properties.mp4	24.45 MiB
Day - 10 (28_06_23)/15. CSS - Part 6/09. Animation in CSS.mp4	41.54 MiB
Day - 10 (28_06_23)/15. CSS - Part 6/10. Animation Shorthand.mp4	10.49 MiB
Day - 10 (28_06_23)/15. CSS - Part 6/11. _ in Animation.mp4	6.75 MiB
Day - 10 (28_06_23)/15. CSS - Part 6/12. Media Queries.mp4	47.20 MiB
Day - 10 (28_06_23)/15. CSS - Part 6/13. Media Queries (Orientation).mp4	4.99 MiB
Day - 10 (28_06_23)/15. CSS - Part 6/14. Pet Adoption Page.mp4	42.11 MiB
Day - 10 (28_06_23)/15. CSS - Part 6/15. Download Starter HTML.pdf	154.06 KiB
Day - 10 (28_06_23)/15. CSS - Part 6/16. z-index.mp4	35.67 MiB
Day - 10 (28_06_23)/15. CSS - Part 6/17. CSS Part 6 (Qs).pdf	308.04 KiB
Day - 10 (28_06_23)/15. CSS - Part 6/18. CSS Part 6 (Ans).pdf	130.60 KiB
Day - 11 (30_06_23)/16. Mini Project (CSS)/0. Topic List.jpg	141.40 KiB
Day - 11 (30_06_23)/16. Mini Project (CSS)/01. Color Theory.mp4	49.64 MiB
Day - 11 (30_06_23)/16. Mini Project (CSS)/02. Typography.mp4	11.36 MiB
Day - 11 (30_06_23)/16. Mini Project (CSS)/03. Google Fonts.mp4	27.44 MiB
Day - 11 (30_06_23)/16. Mini Project (CSS)/04. Icons.mp4	24.49 MiB
Day - 11 (30_06_23)/16. Mini Project (CSS)/05. Download Starter HTML.pdf	169.56 KiB
Day - 11 (30_06_23)/16. Mini Project (CSS)/06. Introduction.mp4	29.07 MiB
Day - 11 (30_06_23)/16. Mini Project (CSS)/07. Setting Style.mp4	28.90 MiB
Day - 11 (30_06_23)/16. Mini Project (CSS)/08. Sidebar Menu.mp4	70.17 MiB
Day - 11 (30_06_23)/16. Mini Project (CSS)/09. Hover Changes.mp4	18.39 MiB
Day - 11 (30_06_23)/16. Mini Project (CSS)/10. Configuring Checkbox.mp4	33.12 MiB
Day - 12 (03_07_23)/17. Bootstrap/0.Topic List.jpg	455.34 KiB
Day - 12 (03_07_23)/17. Bootstrap/01. What is Bootstrap-.mp4	44.60 MiB
Day - 12 (03_07_23)/17. Bootstrap/02. Using Bootstrap.mp4	33.68 MiB
Day - 12 (03_07_23)/17. Bootstrap/03. Container (Layout).mp4	34.93 MiB
Day - 12 (03_07_23)/17. Bootstrap/04. Button (Component).mp4	33.88 MiB
Day - 12 (03_07_23)/17. Bootstrap/05. Badge (Component).mp4	27.87 MiB
Day - 12 (03_07_23)/17. Bootstrap/06. Alert (Component).mp4	31.53 MiB
Day - 12 (03_07_23)/17. Bootstrap/07. Button Group (Component).mp4	14.24 MiB
Day - 12 (03_07_23)/17. Bootstrap/08. Navbar (Component).mp4	79.25 MiB
Day - 12 (03_07_23)/17. Bootstrap/09. Card (Component).mp4	21.76 MiB
Day - 12 (03_07_23)/17. Bootstrap/10. Grid (Layout).mp4	53.41 MiB
Day - 12 (03_07_23)/17. Bootstrap/11. Grid (Vertical Alignment).mp4	13.80 MiB
Day - 12 (03_07_23)/17. Bootstrap/12. Form Controls in Bootstrap.mp4	28.17 MiB
Day - 12 (03_07_23)/17. Bootstrap/13. Select in Form.mp4	10.58 MiB
Day - 12 (03_07_23)/17. Bootstrap/14. Checkbox & Radio in Form.mp4	17.12 MiB
Day - 12 (03_07_23)/17. Bootstrap/15. Form Layout.mp4	11.20 MiB
Day - 12 (03_07_23)/17. Bootstrap/16. Bootstrap (Qs).pdf	305.45 KiB
Day - 12 (03_07_23)/17. Bootstrap/17. Bootstrap (Ans).pdf	451.17 KiB
Day - 13 (05_07_23)/18. Project (CSS)/0. Topic List.jpg	178.51 KiB
Day - 13 (05_07_23)/18. Project (CSS)/01. Download Starter HTML.pdf	298.34 KiB
Day - 13 (05_07_23)/18. Project (CSS)/02. Setting up.mp4	73.62 MiB
Day - 13 (05_07_23)/18. Project (CSS)/03. Basics.mp4	118.06 MiB
Day - 13 (05_07_23)/18. Project (CSS)/04. Layout.mp4	94.62 MiB
Day - 13 (05_07_23)/18. Project (CSS)/05. Sidebar (Nav).mp4	94.72 MiB
Day - 13 (05_07_23)/18. Project (CSS)/06. Sidebar (Library).mp4	89.86 MiB
Day - 13 (05_07_23)/18. Project (CSS)/07. Library Boxes.mp4	128.73 MiB
Day - 13 (05_07_23)/18. Project (CSS)/08. Sticky Nav.mp4	156.44 MiB
Day - 13 (05_07_23)/18. Project (CSS)/09. Cards.mp4	137.56 MiB
Day - 13 (05_07_23)/18. Project (CSS)/10. Footer Line.mp4	39.05 MiB
Day - 13 (05_07_23)/18. Project (CSS)/11. Setting up Player.mp4	68.92 MiB
Day - 13 (05_07_23)/18. Project (CSS)/12. Player Controls.mp4	53.85 MiB
Day - 13 (05_07_23)/18. Project (CSS)/13. Playback Bar.mp4	115.07 MiB
Day - 13 (05_07_23)/18. Project (CSS)/14. Tailwind CSS.mp4	3.82 MiB
Day - 14 (09_07_23)/19. JavaScript (Part - 1)/0. Topic List.jpg	50.41 KiB
Day - 14 (09_07_23)/19. JavaScript (Part - 1)/01. Introduction.mp4	28.13 MiB
Day - 14 (09_07_23)/19. JavaScript (Part - 1)/02. Using the Console.mp4	42.86 MiB
Day - 14 (09_07_23)/19. JavaScript (Part - 1)/03. What is a Variable_.mp4	40.62 MiB
Day - 14 (09_07_23)/19. JavaScript (Part - 1)/04. Data Types in JS.mp4	33.42 MiB
Day - 14 (09_07_23)/19. JavaScript (Part - 1)/05. Numbers in JS.mp4	38.72 MiB
Day - 14 (09_07_23)/19. JavaScript (Part - 1)/06. Operations in JS.mp4	40.21 MiB
Day - 14 (09_07_23)/19. JavaScript (Part - 1)/07. NaN in JS.mp4	13.30 MiB
Day - 14 (09_07_23)/19. JavaScript (Part - 1)/08. Operator Precedence.mp4	31.49 MiB
Day - 14 (09_07_23)/19. JavaScript (Part - 1)/08.1 let, const & var Keywords.mp4	47.32 MiB
Day - 14 (09_07_23)/19. JavaScript (Part - 1)/09. Practice Qs.mp4	27.13 MiB
Day - 14 (09_07_23)/19. JavaScript (Part - 1)/10. Assignment Operators.mp4	13.46 MiB
Day - 14 (09_07_23)/19. JavaScript (Part - 1)/11. Unary Operators.mp4	40.20 MiB
Day - 14 (09_07_23)/19. JavaScript (Part - 1)/12. Practice Qs.mp4	12.05 MiB
Day - 14 (09_07_23)/19. JavaScript (Part - 1)/13. Identifier Rules.mp4	44.69 MiB
Day - 14 (09_07_23)/19. JavaScript (Part - 1)/14. Boolean in JS.mp4	21.14 MiB
Day - 14 (09_07_23)/19. JavaScript (Part - 1)/15. What is TypeScript_.mp4	11.69 MiB
Day - 14 (09_07_23)/19. JavaScript (Part - 1)/16. Practice Qs.mp4	8.33 MiB
Day - 14 (09_07_23)/19. JavaScript (Part - 1)/17. String in JS.mp4	39.22 MiB
Day - 14 (09_07_23)/19. JavaScript (Part - 1)/18. String Indices.mp4	49.08 MiB
Day - 14 (09_07_23)/19. JavaScript (Part - 1)/19. null & undefined in JS.mp4	25.75 MiB
Day - 14 (09_07_23)/19. JavaScript (Part - 1)/20. Practice Qs.mp4	27.96 MiB
Day - 15 (11_07_23)/20. JavaScript (Part 2)/0. Topic List.jpg	476.86 KiB
Day - 15 (11_07_23)/20. JavaScript (Part 2)/01. console.log( ).mp4	27.03 MiB
Day - 15 (11_07_23)/20. JavaScript (Part 2)/02. Linking JS File.mp4	41.95 MiB
Day - 15 (11_07_23)/20. JavaScript (Part 2)/03. Template Literals.mp4	35.13 MiB
Day - 15 (11_07_23)/20. JavaScript (Part 2)/04. Operators in JS.mp4	29.53 MiB
Day - 15 (11_07_23)/20. JavaScript (Part 2)/05. Comparison Operators.mp4	50.83 MiB
Day - 15 (11_07_23)/20. JavaScript (Part 2)/06. Comparison for Non-numbers.mp4	25.48 MiB
Day - 15 (11_07_23)/20. JavaScript (Part 2)/07. Conditional Statements.mp4	15.67 MiB
Day - 15 (11_07_23)/20. JavaScript (Part 2)/08. if Statement.mp4	43.22 MiB
Day - 15 (11_07_23)/20. JavaScript (Part 2)/09. Practice Qs.mp4	27.09 MiB
Day - 15 (11_07_23)/20. JavaScript (Part 2)/10. else if Statement.mp4	52.23 MiB
Day - 15 (11_07_23)/20. JavaScript (Part 2)/11. else Statement.mp4	22.26 MiB
Day - 15 (11_07_23)/20. JavaScript (Part 2)/12. Practice Qs.mp4	20.83 MiB
Day - 15 (11_07_23)/20. JavaScript (Part 2)/13. Nested if-else.mp4	15.31 MiB
Day - 15 (11_07_23)/20. JavaScript (Part 2)/14. Logical Operators.mp4	60.75 MiB
Day - 15 (11_07_23)/20. JavaScript (Part 2)/15. Practice Qs.mp4	64.78 MiB
Day - 15 (11_07_23)/20. JavaScript (Part 2)/16. truthy & falsy.mp4	40.01 MiB
Day - 15 (11_07_23)/20. JavaScript (Part 2)/17. Switch Statement.mp4	45.33 MiB
Day - 15 (11_07_23)/20. JavaScript (Part 2)/18. Practice Qs.mp4	24.11 MiB
Day - 15 (11_07_23)/20. JavaScript (Part 2)/19. Alerts & Prompts.mp4	43.49 MiB
Day - 15 (11_07_23)/20. JavaScript (Part 2)/20. JS Part2 (Qs).pdf	623.05 KiB
Day - 15 (11_07_23)/20. JavaScript (Part 2)/21. JS Part 2 (Ans).pdf	857.48 KiB
Day - 16 (13_07_23)/21. JavaScript (Part 3)/0. Topic List.jpg	798.13 KiB
Day - 16 (13_07_23)/21. JavaScript (Part 3)/01. String Methods.mp4	12.66 MiB
Day - 16 (13_07_23)/21. JavaScript (Part 3)/02. Trim Method.mp4	26.15 MiB
Day - 16 (13_07_23)/21. JavaScript (Part 3)/03. Strings are Immutable in JS.mp4	7.21 MiB
Day - 16 (13_07_23)/21. JavaScript (Part 3)/04. ToUpperCase and ToLowerCase.mp4	9.48 MiB
Day - 16 (13_07_23)/21. JavaScript (Part 3)/05. Methods with Arguments - indexOf.mp4	23.71 MiB
Day - 16 (13_07_23)/21. JavaScript (Part 3)/06. Method Chaining.mp4	15.03 MiB
Day - 16 (13_07_23)/21. JavaScript (Part 3)/07. Slice Method.mp4	33.99 MiB
Day - 16 (13_07_23)/21. JavaScript (Part 3)/08. Replace & Repeat Method.mp4	20.49 MiB
Day - 16 (13_07_23)/21. JavaScript (Part 3)/09. Practice Qs.mp4	42.19 MiB
Day - 16 (13_07_23)/21. JavaScript (Part 3)/10. Array (Data Structure).mp4	34.54 MiB
Day - 16 (13_07_23)/21. JavaScript (Part 3)/11. Visualizing Arrays.mp4	20.59 MiB
Day - 16 (13_07_23)/21. JavaScript (Part 3)/12. Creating Arrays.mp4	22.44 MiB
Day - 16 (13_07_23)/21. JavaScript (Part 3)/13. Arrays are Mutable.mp4	22.39 MiB
Day - 16 (13_07_23)/21. JavaScript (Part 3)/14. Array Methods.mp4	36.88 MiB
Day - 16 (13_07_23)/21. JavaScript (Part 3)/15. Practice Qs.mp4	16.38 MiB
Day - 16 (13_07_23)/21. JavaScript (Part 3)/16. indexOf & includes Method.mp4	19.91 MiB
Day - 16 (13_07_23)/21. JavaScript (Part 3)/17. Concatenation & Reverse.mp4	24.09 MiB
Day - 16 (13_07_23)/21. JavaScript (Part 3)/18. Slice in Arrays.mp4	30.27 MiB
Day - 16 (13_07_23)/21. JavaScript (Part 3)/19. Splice in Arrays.mp4	51.16 MiB
Day - 16 (13_07_23)/21. JavaScript (Part 3)/20. Sort in Arrays.mp4	17.92 MiB
Day - 16 (13_07_23)/21. JavaScript (Part 3)/21. Practice Qs.mp4	21.52 MiB
Day - 16 (13_07_23)/21. JavaScript (Part 3)/22. Arrays References.mp4	52.88 MiB
Day - 16 (13_07_23)/21. JavaScript (Part 3)/23. Constant Arrays.mp4	25.41 MiB
Day - 16 (13_07_23)/21. JavaScript (Part 3)/24. Nested Arrays.mp4	32.92 MiB
Day - 16 (13_07_23)/21. JavaScript (Part 3)/25. Practice Qs.mp4	26.02 MiB
Day - 16 (13_07_23)/21. JavaScript (Part 3)/26. JS Part3 (Qs).pdf	308.26 KiB
Day - 16 (13_07_23)/21. JavaScript (Part 3)/27. JS Part 3 (Ans).pdf	660.82 KiB
Day - 17 (15_07_23)/22. JavaScript (Part 4)/0. Topic List.jpg	509.25 KiB
Day - 17 (15_07_23)/22. JavaScript (Part 4)/01. for Loops.mp4	41.30 MiB
Day - 17 (15_07_23)/22. JavaScript (Part 4)/02. Dry Run.mp4	51.58 MiB
Day - 17 (15_07_23)/22. JavaScript (Part 4)/03. Print Odd Numbers.mp4	27.64 MiB
Day - 17 (15_07_23)/22. JavaScript (Part 4)/04. Print Even Numbers.mp4	20.54 MiB
Day - 17 (15_07_23)/22. JavaScript (Part 4)/05. Infinite Loops.mp4	20.35 MiB
